"system","property","mean total simulations","median total simulations","sdev total simulations","min total simulations","max total simulations","mean total time","sdev total time","min total time","max total time","mean simulations for equivalence testing","sdev simulations for equivalence testing","min simulations for equivalence testing","max simulations for equivalence testing","mean simulation time","sdev simulation time","min simulation time","max simulation time","num falsified"
"AT","AT1","1029.5","1082","302.388","554","1395","219.093","60.2657","121","285","134.75","60.1181","62","229","208.368","58.2176","113","272","4"
"AT","AT2","501.5","374","384.583","147","1280","109.997","86.0031","38","290","111.833","74.0955","50","241","102.872","83.492","34","278","6"
"AT","AT6a","457.9","316","246.449","168","842","82.197","37.9566","39","146","50","0","50","50","74.5905","36.1053","33","137","10"
"AT","AT6b","600","566","194.521","321","1021","103.957","28.3065","59","166","50","0","50","50","95.2413","26.6884","53","153","10"
"AT","AT6c","901.2","862","310.917","435","1407","151.64","50.2634","80","234","50","0","50","50","136.38","47.0448","68","213","10"
"AT","AT1_constrained","130.1","122","38.6845","105","243","41.0528","9.84092","35","69","62.2","16.3756","50","98","36.4447","9.58083","30","64","10"
"AT","AT2_constrained","727.875","596","249.392","355","1064","144.467","52.0814","68","230","234.625","136.636","100","538","135.528","50.5756","61","219","8"
"AT","AT6c_constrained","186.6","172","59.6761","137","347","47.3517","11.3599","38","78","49.9","0.3","49","50","42.3638","10.8183","33","71","10"
"CC","CC1","229.2","214","45.7161","161","314","266.33","52.7385","188","346","50","0","50","50","262.657","52.4","185","342","10"
"CC","CC2","119","119","0","119","119","98.6133","0.703777","97","99","0","0","0","0","95.7124","0.705992","94","96","10"
"CC","CC3","195.2","178","43.0483","140","289","223.299","48.2524","162","328","50","0","50","50","219.523","47.9627","159","324","10"
"SC","SC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PM","PM1","34","34","0","34","34","25.4312","3.65087","23","36","0","0","0","0","21.5128","3.75782","19","32","10"
